0;0;0;0;land;false;unknown;0
1;229;240;229;land;false;mountain;1
2;227;113;228;land;false;plains;1
3;141;205;166;land;false;forest;1
4;223;165;147;land;false;desert;1
5;200;235;208;land;false;forest;1
6;119;215;200;land;false;mountain;1
7;173;131;252;land;true;marsh;1
8;243;148;207;land;false;mountain;1
9;121;213;239;land;false;forest;1
10;158;163;251;land;false;desert;1
11;212;144;243;land;false;mountain;1
12;215;248;173;land;true;plains;1
13;190;170;254;land;false;hills;1
14;164;154;222;land;false;desert;1
15;250;183;165;land;false;forest;1
16;155;244;106;land;false;forest;1
17;188;187;207;land;false;desert;1
18;249;254;107;land;false;mountain;1
19;239;173;177;land;false;forest;1
20;156;181;231;land;false;forest;1
21;195;236;170;land;false;plains;1
22;146;201;237;land;false;desert;1
23;254;123;208;land;false;forest;1
24;74;220;221;land;false;desert;1
25;227;157;139;land;false;hills;1
26;234;139;241;land;false;mountain;1
27;246;180;82;land;false;desert;1
28;231;171;109;land;false;forest;1
29;250;234;175;land;false;plains;1
30;111;220;254;land;true;forest;1
31;250;174;231;land;false;plains;1
32;205;236;240;land;false;plains;1
33;254;129;164;land;false;desert;1
34;250;96;180;land;false;forest;1
35;227;201;192;land;false;mountain;1
36;237;222;92;land;false;plains;1
37;249;208;138;land;false;hills;1
38;225;128;180;land;true;forest;1
39;191;155;240;land;false;jungle;1
40;230;152;135;land;false;desert;1
41;75;223;227;land;false;forest;1
42;249;241;128;land;false;forest;1
43;213;104;198;land;false;mountain;1
44;218;235;54;land;false;mountain;1
45;67;252;215;land;false;forest;1
46;150;217;145;land;false;mountain;1
47;210;147;219;land;false;forest;1
48;214;179;176;land;false;forest;1
49;210;186;187;land;false;desert;1
50;131;178;218;land;false;forest;1
51;196;104;218;land;false;forest;1
52;247;138;199;land;false;plains;1
53;216;219;155;land;true;mountain;1
54;226;200;151;land;false;mountain;1
55;229;232;88;land;false;forest;1
56;242;110;189;land;false;mountain;1
57;245;237;114;land;false;plains;1
58;248;244;184;land;false;plains;1
59;228;57;233;land;false;plains;1
60;233;219;158;land;false;marsh;1
61;240;133;204;land;false;mountain;1
62;241;214;61;land;false;mountain;1
63;230;146;190;land;false;forest;1
64;183;109;218;land;false;plains;1
65;150;219;241;land;false;desert;1
66;221;211;231;land;false;mountain;1
67;181;186;141;land;false;mountain;1
68;252;29;234;land;false;plains;1
69;132;253;132;land;false;plains;1
70;161;123;244;land;true;plains;1
71;119;253;178;land;false;mountain;1
72;233;98;203;land;false;desert;1
73;219;194;227;land;false;mountain;1
